81,DOBLE TOMA EXT JELUZ,594.33,10,15,23,5
82,DOBLE PUNTO EXT JELUZ,620.90,10,15,23,5
83,PUNTO Y TOMA EXT JELUZ,607.60,10,15,23,5
84,PULSADOR EXT JELUZ,342.00,20,15,23,5
85,BASE MODULO EXT SIMPLE JELUZ,91.95,110,15,23,5
86,BASE MODULO EXT DOBLE JELUZ,154.00,60,15,23,5
87,TAPA MODULO EXT SIMPLE JELUZ,116.70,60,15,23,5
88,REPUESTO TOMA JELUZ,259.96,50,23,23,5
89,REPUESTO PUNTO JELUZ,236.92,50,23,23,5
90,REPUESTO PUNTO SIN LUMINOSO JELUZ,236.92,50,23,23,5
91,REPUESTO PUNTO COMBINADO JELUZ,289.98,50,23,23,5
92,REPUESTO TOMA 20A JELUZ,484.33,50,23,23,5
93,REPUESTO TAPA BASTIDOR 2000/2 JELUZ,196.69,50,23,23,5
94,REPUESTO TAPA 5X10 JELUZ,131.16,50,23,23,5
95,REPUESTO TAPA MIGNON JELUZ,140.72,50,23,23,5
96,REPUESTO TAPA REGINA JELUZ,131.16,50,23,23,5
97,REPUESTO TAPON CIEGO JELUZ,29.44,100,23,23,5
98,REPUESTO SOPORTE BASTIDOR JELUZ,131.17,50,23,23,5
99,REPUESTO SOPORTE BASTIDOR MIGNON JELUZ,127.09,40,23,23,5
100,BASTIDOR RIEL DIN MODULO SIMPLE JELUZ,155.59,100,23,23,5
101,REPUESTO BASTIDOR ESTANCO BLANCO JELUZ,916.17,0,23,23,5
102,REPUESTO BASTIDOR ESTANCO TRANS. JELUZ,916.17,0,23,23,5
103,PUNTO SIMPLE ARMADO SICA LIFE,454.54,15,3,8,8
104,TOMA SIMPLE ARMADO SICA LIFE,477.25,15,3,8,8
105,DOBLE PUNTO ARMADO SICA LIFE,658.97,15,3,8,8
106,DOBLE TOMA ARMADO SICA LIFE,691.85,15,3,8,8
107,PUNTO Y TOMA ARMADO SICA LIFE,658.97,15,3,8,8
108,TOMA 20A ARMADO SICA LIFE,1065.02,5,3,8,8
109,TOMA SIMPLE ARMADO SICA BRAVA,870.00,0,3,8,8
110,DOBLE TOMA ARMADO SICA BRAVA,1907.00,0,3,8,8
111,PUNTO Y TOMA ARMADO SICA BRAVA,1313.00,0,3,8,8
112,PUNTO COMBINADO ARMADO SICA BRAVA,695.00,5,3,8,8
113,DOBLE PUNTO ARMADO SICA BRAVA,1111.40,5,3,8,8
114,TRES PUNTOS ARMADO SICA BRAVA,1520.61,5,3,8,8
115,CUATRO PUNTOS ARMADO BRAVA,1937.20,5,3,8,8
116,TOMA 20A ARMADO SICA BRAVA,1624.80,5,3,8,8
117,USB + TOMA 10A ARMADO SICA BRAVA,13315.00,5,3,8,8
118,TAPA CIEGA CON BASTIDOR SICA BRAVA,445.80,5,3,8,8
119,REPUESTO BASTIDOR SICA LIFE,152.75,40,23,8,8
120,REPUESTO CIEGO SICA LIFE,35.20,60,23,8,8
121,REPUESTO PUNTO SICA LIFE,187.13,60,23,8,8
122,REPUESTO TAPA SICA LIFE,142.57,30,23,8,8
123,REPUESTO TOMA SICA LIFE,196.39,60,23,8,8
124,REPUESTO PUNTO COMBINADO SICA LIFE,228.26,60,23,8,8
125,REPUESTO TOMA 20A SICA LIFE,662.18,30,23,8,8
126,REPUESTO TAPA MIGNON SICA LIFE,143.89,20,23,8,8
127,REPUESTO SOPORTE MIGNON SICA LIFE,152.75,40,23,8,8
128,PUNTO SIMPLE ARMADO RICHI,775.30,25,3,3,3
129,TOMA SIMPLE ARMADO RICHI,715.02,25,3,3,3
130,TOMA SIMPLE EXT CIOCCA PLAST,261.80,120,15,6,6
131,PUNTO SIMPLE EXT CIOCCA PLAST,226.35,120,15,6,6
132,DOBLE TOMA EXT CIOCCA PLAST,564.40,60,15,6,6
133,DOBLE PUNTO EXT CIOCCA PLAST,353.40,60,15,6,6
134,PUNTO Y TOMA EXT CIOCCA PLAST,457.30,60,15,6,6
135,PULSADOR EXT CIOCCA PLAST,228.70,60,15,6,6
136,TOMA 20A EXT CIOCCA PLAST,570.50,50,15,6,6
137,PUNTO COMBINADO EXT CIOCCA PLAST,247.40,60,15,6,6
138,TRES TOMAS EXT CIOCCA PLAST,1287.00,25,15,6,6
139,CAJA CAPSULADA PUNTO Y TOMA CIOCCA PLAST,1309.00,20,4,6,6
140,CAJA CAPSULADA TOMA SIMPLE CIOCCA PLAST,1066.80,20,4,6,6
141,CAJA CAPSULADA PUNTO SIMPLE CIOCCA PLAST,1066.80,20,4,6,6
142,CAJA CAPSULADA DOBLE TOMA CIOCCA PLAST,1309.00,20,4,6,6
143,CAJA CAPSULADA DOBLE PUNTO CIOCCA PLAST,1309.00,20,4,6,6
144,REPUESTO MODULO CAJA CAPSULADA CIOCCA PLAST,824.90,20,23,6,6
145,REPUESTO MODULO DOBLE CAJA CAPSULADA CIOCCA PLAST,824.90,20,23,6,6
146,REPUESTO BASE PARA 1 MODULO CIOCCA PLAST,92.11,120,23,6,6
147,REPUESTO BASE PARA 2 MODULO CIOCCA PLAST,206.22,60,23,6,6
148,REPUESTO BASE PARA 3 MODULO CIOCCA PLAST,316.20,40,23,6,6
149,REPUESTO BASE PARA 4 MODULO CIOCCA PLAST,419.30,25,23,6,6
150,REPUESTO BASE PARA 5 MODULO CIOCCA PLAST,532.05,25,23,6,6
151,REPUESTO TAPA MODULO CIOCCA PLAST,151.23,0,23,6,6
152,REPUESTO TOMA CIOCCA PLAST,198.00,100,23,6,6
153,REPUESTO PUNTO CIOCCA PLAST,198.00,100,23,6,6
154,REPUESTO PULSADOR CIOCCA PLAST,206.80,100,23,6,6
155,REPUESTO PUNTO COMBINADO CIOCCA PLAST,212.50,100,23,6,6
156,REPUESTO TOMA 20A CIOCCA PLAST,327.00,100,23,6,6
157,REPUESTO TAPON CIEGO CIOCCA PLAST,30.80,200,23,6,6
158,REPUESTO TAPA BASTIDOR CIOCCA PLAST,200.70,100,23,6,6
159,DOBLE TOMA ARMADO CIOCCA PLAST,667.05,50,3,6,6
160,PUNTO Y TOMA ARMADO CIOCCA PLAST,647.30,50,3,6,6
161,TOMA SIMPLE ARMADO CIOCCA PLAST,480.00,50,3,6,6
162,PUNTO SIMPLE ARMADO CIOCCA PLAST,460.30,50,3,6,6
163,DOBLE PUNTO ARMADO CIOCCA PLAST,627.50,50,3,6,6
164,PULSADOR EXT TAAD,442.30,30,15,126,126
165,PUNTO SIMPLE EXT TAAD,418.10,30,15,126,126
166,TOMA SIMPLE EXT TAAD,475.90,30,15,126,126
167,DOBLE PUNTO EXT TAAD,740.00,20,15,126,126
168,DOBLE TOMA EXT TAAD,805.43,20,15,126,126
169,PUNTO Y TOMA EXT TAAD,787.30,20,15,126,126
170,TOMA 20A EXT TAAD,814.50,30,15,126,126
171,CAJA CAPSULADA TOMA SIMPLE TAAD,915.00,20,4,126,126
172,CAJA CAPSULADA PUNTO SIMPLE TAAD,853.26,20,4,126,126
173,CAJA CAPSULADA PULSADOR TAAD,873.20,20,4,126,126
174,CAJA CAPSULADA TOMA 20A TAAD,1191.20,20,4,126,126
175,CAJA CAPSULADA DOBLE TOMA TAAD,1800.00,14,4,126,126
176,CAJA CAPSULADA PUNTO Y TOMA TAAD,1571.50,14,4,126,126
177,CAJA CAPSULADA DOBLE PUNTO TAAD,1587.60,14,4,126,126
178,CAJA CAPSULADA TOMA SIMPLE MIG,909.00,10,4,4,5
179,CAJA CAPSULADA PUNTO SIMPLE MIG,829.84,10,4,4,5
180,CAJA CAPSULADA PUNTO Y TOMA MIG,1562.20,10,4,4,5
181,CAJA CAPSULADA TOMA 20A MIG,1139.00,10,4,4,5
182,CINTA AISLADORA 5MTS TACSA,220.80,200,13,125,5
183,CINTA AISLADORA 10MTS TACSA,339.10,150,13,125,5
184,CINTA AISLADORA 20MTS TACSA,583.50,100,13,125,5
185,CINTA AISLADORA PRO 10MTS TACSA,0.00,120,13,125,5
186,TEFLON 1/2 10MTS TACSA,378.50,300,20,125,5
187,TEFLON 1/2 20MTS TACSA,567.72,300,20,125,5
188,TEFLON 3/4 10MTS TACSA,591.40,288,20,125,5
189,TEFLON 3/4 20MTS TACSA,946.20,288,20,125,5
190,CARTUCHO DE SILICONA BLANCA TACSA,3051.50,24,17,125,5
191,CARTUCHO DE SILICONA NEGRA TACSA,3051.50,24,17,125,5
192,CARTUCHO DE SILICONA TRANSPARENTE TACSA,3051.50,24,17,125,5
193,POMO DE SILICONA TACSA,2018.56,12,17,125,5
194,LUBRICANTE 250ML TACSA,2547.00,12,6,125,5
195,LUBRICANTE 450ML TACSA,3043.60,12,6,125,5
196,CINTA DE PAPEL 12X50MTS TACSA,875.24,72,13,125,5
197,CINTA DE PAPEL 18X50MTS TACSA,1285.30,48,13,125,5
198,CINTA DE PAPEL 24X50MTS TACSA,1703.20,36,13,125,5
199,CINTA DE PAPEL 36X50MTS TACSA,2688.79,24,13,125,5
200,CINTA DE PAPEL 48X50MTS TACSA,3564.02,18,13,125,5
201,GOTA PLUS 2GR TACSA,559.80,24,17,125,5
202,GEL PLUS 3GR TACSA,764.80,24,17,125,5
203,PRECINTO 10CM TACSA,599.26,250,20,125,5
204,PRECINTO 15CM TACSA,1482.40,50,20,125,5
205,PRECINTO 20CM TACSA,2389.20,50,20,125,5
206,PRECINTO 25CM TACSA,3012.07,100,20,125,5
207,PRECINTO 30CM TACSA,4108.10,100,20,125,5
208,PRECINTO 35CM TACSA,5566.80,0,20,125,5
209,PRECINTO 40CM TACSA,6931.00,40,20,125,5
210,"PRECINTO 40CMx7,6 TACSA",11212.50,0,20,125,5
211,PISTOLA DE SILICONA 10W TACSA,4486.60,48,17,125,5
212,PISTOLA DE SILICONA 16W TACSA,7317.30,24,17,125,5
213,"BARRAS SILICONA 7,5MM X 500G TACSA",7191.12,20,17,125,5
214,BARRAS SILICONA 11MM X 500G TACSA,7191.12,20,17,125,5
215,CINTA DE EMBALAR MARRON 40M TF3,946.00,36,13,9,9
216,CINTA DE EMBALAR TRANSPARENTE 40M TF3,946.00,36,13,9,9
217,TEFLON 1/2 X10 TF3,162.80,250,20,9,9
218,TEFLON 3/4 X10 TF3,221.60,250,20,9,9
219,"BARRAS SILICONA 7,5MM X 1K TF3",10218.33,25,17,9,9
220,BARRAS SILICONA 11MM X 1K TF3,10218.33,25,17,9,9
221,ADHESIVO DE CONTACTO 50CC TF3,737.50,24,17,9,9
222,SELLADOR DE ROSCAS 25CC TF3,574.80,80,17,9,9
223,SELLADOR DE SILICONA 25CC TF3,684.70,40,17,9,9
224,ADHESIVO PARA PVC X60CM3 TF3,700.16,12,17,9,9
225,ADHESIVO PARA PVC X110CM3 TF3,1190.00,12,17,9,9
226,ADHESIVO PARA PVC X250CM3 TF3,2555.20,6,17,9,9
227,COLA VINILICA 125GR TF3,525.20,12,17,9,9
228,COLA VINILICA 250GR TF3,817.70,12,17,9,9
229,LUBRICANTE MULTIUSO 100CM3 TF3,313.20,24,6,9,9
230,GRASA LITIO EN AEROSOL TF3,1108.30,12,6,9,9
231,GRASA LITIO 100GR TF3,431.42,12,6,9,9
232,GRASA LITIO 250GR TF3,732.20,12,6,9,9
233,GRASA GRAFITADA 100GR TF3,489.08,12,6,9,9
234,GRASA GRAFITADA 250GR TF3,887.13,12,6,9,9
235,GRASA AMARILLA 100GR TF3,431.42,12,6,9,9
236,GRASA AMARILLA 250GR TF3,730.73,12,6,9,9
237,LUBRICANTE TEFLONADO 225CM TF3,1258.00,12,6,9,9
238,KIT DE REPARACION (PARCHES) TF3,805.70,50,20,9,9
239,DESTAPA CAÑERIAS 500CM TF3,639.70,12,20,9,9
240,DESTAPA CAÑERIAS 1L TF3,930.26,6,20,9,9
241,QUITA SARRO Y OXIDO 500CM TF3,642.70,12,20,9,9
242,QUITA SARRO Y OXIDO 1L TF3,909.34,6,20,9,9
243,CREMA LIMPIA MANOS 500GR TF3,1270.90,12,20,9,9
244,CREMA LIMPIAMANOS 1KG TF3,2314.00,12,20,9,9
245,CINTA DE PAPEL 12MM X40M TF3,619.71,72,13,9,9
246,CINTA DE PAPEL 18MM X40M TF3,928.08,48,13,9,9
247,CINTA DE PAPEL 24MMX40M TF3,1237.40,36,13,9,9
248,CINTA DE PAPEL 36MMX40M TF3,1856.20,24,13,9,9
249,CINTA DE PAPEL 48MMX40M TF3,2474.90,18,13,9,9
250,CINTA DE PAPEL AZUL 18MMX40M TF3,1218.00,48,13,9,9
251,CINTA DE PAPEL AZUL 24MMX40M TF3,1624.00,36,13,9,9
252,CINTA DE PAPEL AZUL 36MMX40M TF3,2436.00,24,13,9,9
253,CINTA DE PAPEL AZUL 48MMX40M TF3,3248.00,18,13,9,9
254,ESPUMA DE POLIURETANO 300ML TF3,3253.00,12,20,9,9
255,ESPUMA DE POLIURETANO 500ML TF3,4612.00,12,20,9,9
256,PINCEL N°10 TF3,360.00,12,24,9,9
257,PINCEL N°15 TF3,440.60,12,24,9,9
258,PINCEL N°20 TF3,569.00,12,24,9,9
259,PINCEL N°25 TF3,786.10,12,24,9,9
260,PINCEL N°30 TF3,987.80,12,24,9,9
261,CINTA DE PAPEL 12MM FIJAPEL,490.12,72,13,136,16
262,CINTA DE PAPEL 18MM FIJAPEL,735.20,48,13,136,16
263,CINTA DE PÁPEL 24MM FIJAPEL,980.23,36,13,136,16
264,CINTA DE PAPEL 36MM FIJAPEL,1470.35,24,13,136,16
265,CINTA DE PÁPEL 48MM FIJAPEL,1960.47,18,13,136,16
266,CINTA CONFITERA CANDELA,215.76,72,13,13,13
267,CINTA DE EMBALAR TRANSPARENTE 100MTS CANDELA,786.60,36,13,13,13
268,CINTA DE EMBALAR TRANSPARENTE 42MTS CANDELA,415.44,36,13,13,13
269,CINTA DE EMBALAR MARRON 42MTS CANDELA,435.54,36,13,13,13
270,CINTA AISLADORA 10MTS CANDELA,225.50,200,13,13,13
271,CINTA AISLADORA 20MTS CANDELA,428.08,200,13,13,13
272,POXIPOL GRIS 14ML BLISTER X6,15240.00,60,17,12,12
273,POXIPOL TRANSPARENTE 14ML BLISTER X6,15240.00,60,17,12,12
274,POXIRAN 23GR BLISTER X6,10575.50,120,17,12,12
275,POXILINA 70GR BLISTER X6,15200.00,60,17,12,12
276,FASTIX BLANCO 25GR BLISTER X6,13270.00,120,17,12,12
277,FASTIX TRANSPARENTE 25GR BLISTER X6,13270.00,120,17,12,12
278,FASTIX EXTERIOR 25GR BLISTER X6,13270.00,120,17,12,12
279,FASTIX NEGRO 25GR BLISTER X6,13270.00,120,17,12,12
280,LA GOTITA 2ML BLISTER X6,5525.80,240,17,12,12
281,LA GOTITA 2ML GEL BLISTER X6,6935.70,240,17,12,12
282,UNIPOX 25G BLISTER X6,5292.00,60,17,12,12
283,PULPITO 50GR BLISTER X6,14427.00,120,17,12,12
284,ECCOLE 9GR BLISTER X6,13835.00,120,17,12,12
285,WD40 155GR,3412.88,12,6,12,12
286,PEGAMENTO INSTANTANEO SOL DE NOCHE,2500.00,50,17,145,31
287,ZAPATILLA 4 TOMAS SIN CABLE C/BORNERA TOP,2270.00,50,25,124,5
288,ZAPATILLA 4 TOMAS SIN CABLE C/TECLA TOP,2581.30,50,25,124,5
289,ZAPATILLA 4 TOMAS CON CABLE TOP,3991.40,50,25,124,5
290,ZAPATILLA 5 TOMAS SIN CABLE C/BORNERA TOP,2632.50,50,25,124,5
291,ZAPATILLA 5 TOMAS SIN CABLE C/TECLA TOP,2936.00,50,25,124,5
292,ZAPATILLA 6 TOMAS SIN CABLE C/BORNERA TOP,3034.30,40,25,124,5
293,ZAPATILLA 6 TOMAS SIN CABLE C/TECLA TOP,3337.14,40,25,124,5
294,ZAPATILLA 6 TOMAS CON CABLE TOP,4850.00,40,25,124,5
295,"ZAPATILLA 1,5 MTS GENESIS",1674.75,36,25,14,14
296,ZAPATILLA 3 MTS GENESIS,2128.37,30,25,14,14
297,ZAPATILLA 5 MTS GENESIS,2958.02,25,25,14,14
298,ZAPATILLA SIN CABLE S/TECLA GENESIS,1013.23,60,25,14,14
299,ZAPATILLA SIN CABLE C/TECLA GENESIS,1076.15,60,25,14,14
300,"ZAPATILLA 2T 1,5MTS GENESIS",1148.00,50,25,14,14
301,ZAPATILLA 2T 3M GENEIS,1848.00,40,25,14,14
302,PROLONGADOR 3MTS GENESIS,1702.00,36,25,14,14
303,PROLONGADOR 5MTSGENESIS,2512.32,30,25,14,14
304,"ZAPATILLA 1,5MTS TREFI",4540.00,20,25,21,21
305,"ZAPATILLA 2,5MTS TREFI",5478.00,20,25,21,21
306,ZAPATILLA 5MTS TREFI,6284.90,20,25,21,21
307,"ZAPATILLA 1,5MTS CON USB TREFI",9784.20,12,25,21,21
308,PROLONGADOR 10MTS BLANCO TREFI,4959.00,20,25,21,21
309,"ZAPATILLA 1,5MTS CON TERMICA SICA",3098.00,50,25,8,8
310,"ZAPATILLA 1,3MTS MULTINORMA SICA",3098.00,10,25,8,8
311,"ZAPATILLA 1,5MTS 8 TOMAS SICA",6822.50,50,25,8,8
312,"ZAPATILLA 1,5MTS SICILIA",713.00,70,25,127,5
313,ZAPATILLA 3MTS SICILIA,771.00,60,25,127,5
314,ZAPATILLA 5MTS SICILIA,1012.00,50,25,127,5
315,"ZAPATILLA 1,5MTS VR PLAST",2486.64,20,25,7,7
316,ZAPATILLA 3MTS VR PLAST,3336.39,20,25,7,7
317,ZAPATILLA 5MTS VR PLAST,4397.74,20,25,7,7
318,"ZAPATILLA 1,5MTS 2 TOMAS VR PLAST",1404.98,40,25,7,7
319,ZAPATILLA 3MTS 2 TOMAS VR PLAST,2305.51,30,25,7,7
320,ZAPATILLA SIN CABLE CON BORNERA VR PLAST,1372.64,20,25,7,7
321,ZAPATILLA SIN CABLE CON TECLA VR PLAST,1654.23,20,25,7,7
322,"ZAPATILLA 1,5MTS 3 TOMAS RICHI",3287.00,25,25,3,3
323,"ZAPATILLA 2,5MTS 3 TOMAS RICHI",4267.30,25,25,3,3
324,"ZAPATILLA 1,5MTS 4 TOMAS RICHI",3604.50,20,25,3,3
325,"ZAPATILLA 2,5MTS 4 TOMAS RICHI",4671.10,20,25,3,3
326,ZAPATILLA 5MTS 4 TOMAS RICHI,5777.00,20,25,3,3
327,"ZAPATILLA 1,5MTS MCH",1666.00,50,25,146,19
328,ZAPATILLA 3MTS MCH,1999.00,50,25,146,19
329,ZAPATILLA 5MTS MCH,2534.00,40,25,146,19
330,PROLONGADOR 3MTS MCH,1293.00,0,25,146,19
331,PROLONGADOR 5MTS MCH,1755.00,0,25,146,19
332,"ZAPATILLA 1,5MTS JELUZ",2310.80,20,25,23,5
333,PORTALAMPARA RECEPTACULO CURVO NEGRO,296.74,96,12,5,5
334,PORTALAMPARA RECEPTACULO CURVO BLANCO,358.14,96,12,5,5
335,PORTALAMPARA RECEPTACULO RECTO NEGRO,294.70,96,12,5,5
336,PORTALAMPARA RECEPTACULO RECTO BLANCO,352.30,96,12,5,5
337,PORTALAMPARA CON ENCHUFE,524.70,100,12,5,5
338,PORTALAMPARA CON ENCHUFE Y TECLA,414.00,20,12,19,19
339,PORTALAMPARA CERAMICO C/L,400.00,400,12,5,5
340,PORTALAMPARA CERAMICO CON PUENTE,400.00,400,12,5,5
341,PORTALAMPARA MIGNON NEGRO,462.32,200,12,1,1
342,PORTALAMPARA MIGNON BLANCO,544.53,200,12,1,1
343,PORTALAMPARA FLORON NEGRO STARBOX,425.10,70,12,2,2
344,PORTALAMPARA FLORON BLANCO STARBOX,448.12,70,12,2,2
345,PORTALAMPARAS FLORON BLANCO ECO,671.40,70,12,5,5
346,PORTALAMPARAS FLORON NEGRO ECO,250.00,70,12,5,5
347,PORTALAMPARA C/CHICOTE ECO,167.70,100,12,5,5
348,PORTALAMPARA C/CHICOTE BLANCO STARBOX,411.62,100,12,2,2
349,PORTALAMPARA C/CHICOTE NEGRO STARBOX,411.62,100,12,2,2
350,PORTALAMPARA C/CHICOTE GENESIS,158.61,100,12,14,14
351,PORTALAMPARAS 2 PIEZAS BLANCO STARBOX,320.00,100,12,2,2
352,PORTALAMPARAS 2 PIEZAS NEGRO STARBOX,320.00,100,12,2,2
353,PORTALAMPARAS 2 PIEZAS NEGRO GENESIS,178.17,150,12,14,14
354,PORTALAMPARAS 2 PIEZAS BLANCO GENESIS,178.17,150,12,14,14
355,PORTALAMPARAS 3 PIEZAS BLANCO,362.88,100,12,5,5
356,PORTALAMPARAS 3 PIEZAS NEGRO,210.00,100,12,5,5
357,ZOCALO GU10 GENESIS,147.70,100,12,14,14
358,FLORON PLASTICO C/PRENSACABLE BLANCO STARBOX,143.40,100,12,2,2
359,FLORON PLASTICO C/PRENSACABLE NEGRO STARBOX,143.40,100,12,2,2
360,PORTALAMPARA GUIRNALDA ECO,179.50,100,12,5,5
361,GUIRNALDA 5MTS GENESIS,2569.44,18,12,14,14
362,GUIRNALDA 10MTS GENESIS,4714.24,10,12,14,14
363,TORTUGA C/PORTALAMPARA BLANCA TREFI,3329.70,12,9,21,21
364,TORTUGA C/PORTALAMPARA NEGRA TREFI,3329.70,12,9,21,21
365,TORTUGA C/PANEL LED BLANCA TREFI,6935.50,8,9,21,21
366,TORTUGA C/PANEL LED NEGRA TREFI,6935.50,8,9,21,21
367,LED 7W CANDELA,537.70,50,14,13,13
368,LED 9W CANDELA,556.90,50,14,13,13
369,LED 12W CANDELA,691.40,50,14,13,13
370,LED 15W CANDELA,818.70,50,14,13,13
371,LED ALTA POTENCIA 20W CANDELA,1551.81,20,14,13,13
372,LED ALTA POTENCIA 30W CANDELA,2384.52,20,14,13,13
373,LED ALTA POTENICA 40W CANDELA,3582.00,20,14,13,13
374,LED ALTA POTENCIA 48W CANDELA,5800.60,20,14,13,13
375,LED ALTA POTENCIA CUERPO ALUMINIO 20W CANDELA,2543.05,20,14,13,13
376,LED ALTA POTENCIA CUERPO ALUMINIO 30W CANDELA,3615.60,20,14,13,13
377,LED ALTA POTENCIA CUERPO ALUMINIO 40W CANDELA,5055.00,20,14,13,13
378,LED ALTA POTENCIA CUERPO ALUMINIO 50W CANDELA,7091.80,20,14,13,13
379,DICROICA 5W FRIA CANDELA,752.50,50,14,13,13
380,DICROICA 5W CALIDA CANDELA,752.50,50,14,13,13
381,DICROICA 7W FRIA CANDELA,815.22,50,14,13,13
